#table generated by xedstrtsv.py		
key	messages.properties	messages_ja.properties
gemx.AboutDialog.S_ACKNOLEDGEMENT	"Acknowledgement: \n  CCFinderX was supported by Exploratory Software Project of Information-technology Promotion Agency(IPA), Japan in 2005.\n\n"	(謝辞) \n\ \ CCFinderXは2005年に情報処理推進機構未踏ソフトウェア創造事業の援助を受けました。\n\n
gemx.CcfxSettingsDialog.S_0_DONT_USE_SHAPER	0 - Don't Use shaper	0 - シェイパを使わない
gemx.CcfxSettingsDialog.S_1_EASY_SHAPER	1 - Easy shaper	1 - 簡易シェイパ
gemx.CcfxSettingsDialog.S_2_SOFT_SHAPER	2 - Soft shaper	2 - ソフトシェイパ
gemx.CcfxSettingsDialog.S_3_HARD_SHAPER	3 - Hard shaper	3 - ハードシェイパ
gemx.CcfxSettingsDialog.S_CANCEL	&Cancel	キャンセル(&C)
gemx.CcfxSettingsDialog.S_CCFX_SETTINGS	Ccfx Preferences - GemX	Ccfx設定\ -\ GemX
gemx.CcfxSettingsDialog.S_CHUNK_SIZE	Chunk Size	チャンクサイズ
gemx.CcfxSettingsDialog.S_DEFAULT_MINIMUM_CLONE_LENGTH	Default Minimum Clone Length	規定の最小クローン長
gemx.CcfxSettingsDialog.S_DEFAULT_MINIMUM_TKS	Default minimum TKS \n(size of token set)	規定の最小TKS\n(トークンセットサイズ)
gemx.CcfxSettingsDialog.S_DEFAULT_PMATCH_APPLICATION	Default P-match Application	既定のP-match適用
gemx.CcfxSettingsDialog.S_DEFAULT_PREPROCESSOR	Default preprocess script	規定のプリプロセススクリプト
gemx.CcfxSettingsDialog.S_DEFAULT_PRESCREENING_UTILIZATION	Default Prescreening Utilization	規定の事前審査使用
gemx.CcfxSettingsDialog.S_DEFAULT_SHAPER_LEVEL	Default Shaper Level	既定のシェイパレベル
gemx.CcfxSettingsDialog.S_ENCODING	Encoding	エンコーディング
gemx.CcfxSettingsDialog.S_INITIALIZE_SETTINGS	&Initialize	初期化する(&I)
gemx.CcfxSettingsDialog.S_MAX_WORKER_THREADS	Max Worker Threads	ワーカースレッドの最大数
gemx.CcfxSettingsDialog.S_OK	&OK	&OK
gemx.CcfxSettingsDialog.S_PREPROCESSED_FILE_DIRECTORY	Preprocessed File Directory	プリプロセス結果ファイルのディレクトリ
gemx.CcfxSettingsDialog.S_SAVE_TO_DISTINCT_DIRECTORY	Store to Distinct Directory	別個のディレクトリに保存する
gemx.CcfxSettingsDialog.S_TOOLTIP_FOR_CHUNK_SIZE	"Upper limit of total size of source files, \nthat CCFinderX processes at once. If GemX \ncrushs by out-of-memory error, put the \nsmaller value."	CCFinderXが一度に処理するソースファイルの\n合計サイズの上限。もしGemXがメモリ不足エラーを\n起こすようであれば、より小さい値を入れてください。
gemx.CcfxSettingsDialog.S_TOOLTIP_FOR_ENCODING	"Encoding of source files. This value will be \npassed to libiconv, so that refer the libiconv \nmanual for valid encoding names. The default \nvalue ""char"" means using the system-dependent \nencoding."	ソースファイルのエンコーディング。この値は\nlibiconvに渡されるので、有効なエンコーディング名は\nlibiconvのマニュアルを参照してください。規定の値\n「char」は、システム依存のエンコーディングを使う\nことを意味します。
gemx.CcfxSettingsDialog.S_USE_PMATCH	Use P-match	P-matchを利用する
gemx.CcfxSettingsDialog.S_USE_PRESCREENING	Use Prescreening	事前審査を利用する
gemx.CloneDetectionFromFileListOptionDialog.S_0_DONT_USE_SHAPER	0 - Don't Use shaper	0 - シェイパを使わない
gemx.CloneDetectionFromFileListOptionDialog.S_1_EASY_SHAPER	1 - Easy shaper	1 - 簡易シェイパ
